"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
1,2.00000,-0.00020518,0.000067309,0.00010169,0.000047016,0.00010169,0.000047016
2,2.05000,-0.00020178,0.000061552,0.00010133,0.000042991,0.00010133,0.000042991
3,2.10000,-0.00019702,0.000056402,0.000099866,0.000039389,0.000099866,0.000039389
4,2.15000,-0.00019157,0.000051781,0.00009779,0.000036158,0.00009779,0.000036158
5,2.20000,-0.00018577,0.000047627,0.000095361,0.000033253,0.000095361,0.000033253
6,2.25000,-0.00017985,0.000043884,0.000092736,0.000030634,0.000092736,0.000030634
7,2.30000,-0.00017393,0.000040502,0.000090015,0.000028269,0.000090015,0.000028269
8,2.35000,-0.00016809,0.000037442,0.000087263,0.000026128,0.000087263,0.000026128
9,2.40000,-0.00016239,0.000034667,0.000084522,0.000024186,0.000084522,0.000024186
10,2.45000,-0.00015685,0.000032145,0.000081822,0.000022422,0.000081822,0.000022422
11,2.50000,-0.0001515,0.000029849,0.000079181,0.000020816,0.000079181,0.000020816
12,2.55000,-0.00014634,0.000027755,0.000076611,0.000019351,0.000076611,0.000019351
13,2.60000,-0.00014137,0.000025842,0.00007412,0.000018013,0.00007412,0.000018013
14,2.65000,-0.00013661,0.000024092,0.000071714,0.000016789,0.000071714,0.000016789
15,2.70000,-0.00013204,0.000022487,0.000069393,0.000015667,0.000069393,0.000015667
16,2.75000,-0.00012767,0.000021015,0.000067158,0.000014637,0.000067158,0.000014637
17,2.80000,-0.00012347,0.000019661,0.00006501,0.000013691,0.00006501,0.000013691
18,2.85000,-0.00011946,0.000018415,0.000062946,0.000012823,0.000062946,0.000012823
19,2.90000,-0.00011562,0.000017266,0.000060963,0.000012022,0.000060963,0.000012022
20,2.95000,-0.00011194,0.000016205,0.000059061,0.000011283,0.000059061,0.000011283
21,3.00000,-0.00010843,0.000015225,0.000057236,0.000010601,0.000057236,0.000010601
22,3.05000,-0.00010506,0.000014318,0.000055484,9.9687E-006,0.000055484,9.9687E-006
23,3.10000,-0.00010183,0.000013477,0.000053804,9.3833E-006,0.000053804,9.3833E-006
24,3.15000,-0.000098743,0.000012698,0.000052192,8.8402E-006,0.000052192,8.8402E-006
25,3.20000,-0.000095784,0.000011973,0.000050646,0.000008336,0.000050646,0.000008336
26,3.25000,-0.000092949,0.0000113,0.000049162,7.8672E-006,0.000049162,7.8672E-006
27,3.30000,-0.000090231,0.000010674,0.000047738,0.000007431,0.000047738,0.000007431
28,3.35000,-0.000087625,0.00001009,0.00004637,7.0245E-006,0.00004637,7.0245E-006
29,3.40000,-0.000085125,9.5457E-006,0.000045057,6.6455E-006,0.000045057,6.6455E-006
30,3.45000,-0.000082726,9.0376E-006,0.000043796,6.2918E-006,0.000043796,6.2918E-006
31,3.50000,-0.000080423,8.5628E-006,0.000042584,5.9612E-006,0.000042584,5.9612E-006
32,3.55000,-0.000078211,8.1188E-006,0.000041419,5.6521E-006,0.000041419,5.6521E-006
33,3.60000,-0.000076086,7.7032E-006,0.000040299,5.3628E-006,0.000040299,5.3628E-006
34,3.65000,-0.000074043,7.3138E-006,0.000039222,5.0917E-006,0.000039222,5.0917E-006
35,3.70000,-0.00007208,6.9487E-006,0.000038186,4.8375E-006,0.000038186,4.8375E-006
36,3.75000,-0.00007019,6.6061E-006,0.000037189,0.000004599,0.000037189,0.000004599
37,3.80000,-0.000068373,6.2843E-006,0.000036228,0.000004375,0.000036228,0.000004375
38,3.85000,-0.000066623,5.9818E-006,0.000035303,4.1645E-006,0.000035303,4.1645E-006
39,3.90000,-0.000064937,5.6974E-006,0.000034412,3.9665E-006,0.000034412,3.9665E-006
40,3.95000,-0.000063313,5.4296E-006,0.000033553,0.00000378,0.000033553,0.00000378
41,4.00000,-0.000061748,5.1773E-006,0.000032725,3.6045E-006,0.000032725,3.6045E-006
42,4.05000,-0.000060239,4.9395E-006,0.000031927,3.4389E-006,0.000031927,3.4389E-006
43,4.10000,-0.000058784,4.7152E-006,0.000031156,3.2828E-006,0.000031156,3.2828E-006
44,4.15000,-0.000057379,4.5034E-006,0.000030412,3.1354E-006,0.000030412,3.1354E-006
45,4.20000,-0.000056024,4.3034E-006,0.000029694,2.9962E-006,0.000029694,2.9962E-006
