K,Brightness1,F1,wavelength1,photonEnergy1,Brightness3,F3,wavelength3,photonEnergy3,Brightness5,F5,wavelength5,photonEnergy5,Brightness7,F7,wavelength7,photonEnergy7,Brightness9,F9,wavelength9,photonEnergy9,Brightness11,F11,wavelength11,photonEnergy11,Brightness13,F13,wavelength13,photonEnergy13,Brightness15,F15,wavelength15,photonEnergy15,Brightness17,F17,wavelength17,photonEnergy17,Brightness19,F19,wavelength19,photonEnergy19
" 1.000000e+00"," 8.934251e+20"," 3.680633e-01"," 5.438150e-10"," 2.278348e+00"," 4.264134e+20"," 1.792073e-01"," 1.812703e-10"," 6.835095e+00"," 9.941236e+19"," 5.498682e-02"," 1.087610e-10"," 1.139195e+01"," 2.026603e+19"," 1.456012e-02"," 7.768575e-11"," 1.594887e+01"," 3.939009e+18"," 3.577507e-03"," 6.042181e-11"," 2.050584e+01"," 7.477679e+17"," 8.398594e-04"," 4.943007e-11"," 2.506571e+01"," 1.396415e+17"," 1.911971e-04"," 4.182529e-11"," 2.962322e+01"," 2.592833e+16"," 4.257247e-05"," 3.624846e-11"," 3.418077e+01"," 4.778356e+15"," 9.321840e-06"," 3.198382e-11"," 3.873834e+01"," 8.771179e+14"," 2.014566e-06"," 2.861703e-11"," 4.329590e+01"
" 1.007585e+00"," 8.954819e+20"," 3.691125e-01"," 5.465755e-10"," 2.266841e+00"," 4.351597e+20"," 1.829773e-01"," 1.821905e-10"," 6.800575e+00"," 1.031127e+20"," 5.719569e-02"," 1.093131e-10"," 1.133442e+01"," 2.148684e+19"," 1.543148e-02"," 7.808010e-11"," 1.586832e+01"," 4.254165e+18"," 3.863611e-03"," 6.072852e-11"," 2.040228e+01"," 8.227328e+17"," 9.242871e-04"," 4.968098e-11"," 2.493912e+01"," 1.567498e+17"," 2.144268e-04"," 4.203760e-11"," 2.947361e+01"," 2.961479e+16"," 4.865536e-05"," 3.643246e-11"," 3.400814e+01"," 5.569893e+15"," 1.085705e-05"," 3.214617e-11"," 3.854269e+01"," 1.042598e+15"," 2.391131e-06"," 2.876229e-11"," 4.307723e+01"
" 1.015191e+00"," 8.961991e+20"," 3.701163e-01"," 5.493642e-10"," 2.255335e+00"," 4.431217e+20"," 1.867621e-01"," 1.831200e-10"," 6.766054e+00"," 1.071525e+20"," 5.946002e-02"," 1.098708e-10"," 1.127688e+01"," 2.277556e+19"," 1.634235e-02"," 7.847847e-11"," 1.578777e+01"," 4.588496e+18"," 4.168482e-03"," 6.103836e-11"," 2.029871e+01"," 9.048611e+17"," 1.015983e-03"," 4.993446e-11"," 2.481252e+01"," 1.757433e+17"," 2.401394e-04"," 4.225208e-11"," 2.932400e+01"," 3.381818e+16"," 5.551709e-05"," 3.661834e-11"," 3.383551e+01"," 6.467756e+15"," 1.262188e-05"," 3.231018e-11"," 3.834705e+01"," 1.234549e+15"," 2.832271e-06"," 2.890904e-11"," 4.285857e+01"
" 1.022817e+00"," 8.972263e+20"," 3.710749e-01"," 5.521814e-10"," 2.243828e+00"," 4.516835e+20"," 1.905604e-01"," 1.840591e-10"," 6.731533e+00"," 1.112652e+20"," 6.178000e-02"," 1.104342e-10"," 1.121935e+01"," 2.400648e+19"," 1.729385e-02"," 7.888092e-11"," 1.570722e+01"," 4.949590e+18"," 4.493055e-03"," 6.135137e-11"," 2.019515e+01"," 9.938501e+17"," 1.115460e-03"," 5.019053e-11"," 2.468593e+01"," 1.966207e+17"," 2.685626e-04"," 4.246876e-11"," 2.917439e+01"," 3.855156e+16"," 6.324549e-05"," 3.680612e-11"," 3.366288e+01"," 7.508833e+15"," 1.464712e-05"," 3.247587e-11"," 3.815140e+01"," 1.460631e+15"," 3.348048e-06"," 2.905729e-11"," 4.263990e+01"
" 1.030464e+00"," 8.969685e+20"," 3.719886e-01"," 5.550277e-10"," 2.232321e+00"," 4.607727e+20"," 1.943710e-01"," 1.850079e-10"," 6.697013e+00"," 1.155016e+20"," 6.415580e-02"," 1.110035e-10"," 1.116181e+01"," 2.538848e+19"," 1.828708e-02"," 7.928752e-11"," 1.562667e+01"," 5.321495e+18"," 4.838290e-03"," 6.166056e-11"," 2.009388e+01"," 1.090837e+18"," 1.223261e-03"," 5.044925e-11"," 2.455934e+01"," 2.196792e+17"," 2.999408e-04"," 4.268767e-11"," 2.902477e+01"," 4.390749e+16"," 7.193687e-05"," 3.699585e-11"," 3.349025e+01"," 8.704458e+15"," 1.696722e-05"," 3.264328e-11"," 3.795575e+01"," 1.724443e+15"," 3.949932e-06"," 2.920707e-11"," 4.242124e+01"
" 1.038133e+00"," 8.973160e+20"," 3.728577e-01"," 5.579035e-10"," 2.220814e+00"," 4.693106e+20"," 1.981925e-01"," 1.859665e-10"," 6.662492e+00"," 1.197308e+20"," 6.658754e-02"," 1.115786e-10"," 1.110428e+01"," 2.682369e+19"," 1.932316e-02"," 7.969834e-11"," 1.554612e+01"," 5.726942e+18"," 5.205177e-03"," 6.198005e-11"," 1.999030e+01"," 1.191711e+18"," 1.339954e-03"," 5.071064e-11"," 2.443274e+01"," 2.447890e+17"," 3.345370e-04"," 4.290885e-11"," 2.887516e+01"," 4.990032e+16"," 8.169668e-05"," 3.718753e-11"," 3.331762e+01"," 1.007603e+16"," 1.962061e-05"," 3.281241e-11"," 3.776010e+01"," 2.034702e+15"," 4.650971e-06"," 2.935840e-11"," 4.220257e+01"
" 1.045825e+00"," 8.975525e+20"," 3.736823e-01"," 5.608092e-10"," 2.209307e+00"," 4.779730e+20"," 2.020237e-01"," 1.869350e-10"," 6.627971e+00"," 1.241972e+20"," 6.907530e-02"," 1.121598e-10"," 1.104674e+01"," 2.829866e+19"," 2.040321e-02"," 8.011343e-11"," 1.546557e+01"," 6.155063e+18"," 5.594735e-03"," 6.230286e-11"," 1.988673e+01"," 1.304867e+18"," 1.466139e-03"," 5.097476e-11"," 2.430615e+01"," 2.729483e+17"," 3.726328e-04"," 4.313233e-11"," 2.872555e+01"," 5.644840e+16"," 9.264026e-05"," 3.738122e-11"," 3.314499e+01"," 1.162447e+16"," 2.265014e-05"," 3.298331e-11"," 3.756445e+01"," 2.386718e+15"," 5.465983e-06"," 2.951131e-11"," 4.198390e+01"
" 1.053541e+00"," 8.976409e+20"," 3.744627e-01"," 5.637454e-10"," 2.197801e+00"," 4.868572e+20"," 2.058633e-01"," 1.879137e-10"," 6.593451e+00"," 1.287037e+20"," 7.161911e-02"," 1.127470e-10"," 1.098921e+01"," 2.987148e+19"," 2.152833e-02"," 8.053288e-11"," 1.538502e+01"," 6.609767e+18"," 6.008009e-03"," 6.262905e-11"," 1.978315e+01"," 1.426981e+18"," 1.602444e-03"," 5.124164e-11"," 2.417955e+01"," 3.037819e+17"," 4.145301e-04"," 4.335816e-11"," 2.857594e+01"," 6.397733e+16"," 1.048935e-04"," 3.757693e-11"," 3.297236e+01"," 1.341944e+16"," 2.610348e-05"," 3.315600e-11"," 3.736881e+01"," 2.801762e+15"," 6.411769e-06"," 2.966582e-11"," 4.176524e+01"
" 1.061280e+00"," 8.936552e+20"," 3.751992e-01"," 5.667125e-10"," 2.186294e+00"," 4.943513e+20"," 2.097099e-01"," 1.889028e-10"," 6.558930e+00"," 1.331498e+20"," 7.421899e-02"," 1.133404e-10"," 1.093167e+01"," 3.147192e+19"," 2.269964e-02"," 8.095673e-11"," 1.530447e+01"," 7.089429e+18"," 6.446071e-03"," 6.295868e-11"," 1.967957e+01"," 1.557968e+18"," 1.749529e-03"," 5.151134e-11"," 2.405296e+01"," 3.374723e+17"," 4.605517e-04"," 4.358636e-11"," 2.842633e+01"," 7.234801e+16"," 1.185938e-04"," 3.777471e-11"," 3.279973e+01"," 1.544033e+16"," 3.003361e-05"," 3.333050e-11"," 3.717316e+01"," 3.281630e+15"," 7.507341e-06"," 2.982196e-11"," 4.154657e+01"
" 1.069045e+00"," 8.939591e+20"," 3.758919e-01"," 5.697110e-10"," 2.174787e+00"," 5.030684e+20"," 2.135622e-01"," 1.899023e-10"," 6.524409e+00"," 1.378664e+20"," 7.687490e-02"," 1.139401e-10"," 1.087414e+01"," 3.317041e+19"," 2.391823e-02"," 8.138508e-11"," 1.522392e+01"," 7.604878e+18"," 6.910020e-03"," 6.329180e-11"," 1.957600e+01"," 1.701232e+18"," 1.908083e-03"," 5.178388e-11"," 2.392636e+01"," 3.751265e+17"," 5.110428e-04"," 4.381697e-11"," 2.827671e+01"," 8.179926e+16"," 1.338908e-04"," 3.797457e-11"," 3.262710e+01"," 1.776454e+16"," 3.449930e-05"," 3.350685e-11"," 3.697751e+01"," 3.842813e+15"," 8.774178e-06"," 2.997974e-11"," 4.132790e+01"
