K,TotalPower,OnAxisPowerDensity,FluxDensity1,CentralConeFlux1,F1,wavelength1,photonEnergy1,FluxDensity3,CentralConeFlux3,F3,wavelength3,photonEnergy3,FluxDensity5,CentralConeFlux5,F5,wavelength5,photonEnergy5,FluxDensity7,CentralConeFlux7,F7,wavelength7,photonEnergy7,FluxDensity9,CentralConeFlux9,F9,wavelength9,photonEnergy9,FluxDensity11,CentralConeFlux11,F11,wavelength11,photonEnergy11,FluxDensity13,CentralConeFlux13,F13,wavelength13,photonEnergy13,FluxDensity15,CentralConeFlux15,F15,wavelength15,photonEnergy15,FluxDensity17,CentralConeFlux17,F17,wavelength17,photonEnergy17,FluxDensity19,CentralConeFlux19,F19,wavelength19,photonEnergy19
" 1.000000e+00"," 8.464396e+02"," 1.154261e+04"," 1.875633e+18"," 2.559755e+15"," 3.680633e-01"," 5.438391e-10"," 2.278247e+00"," 6.174746e+17"," 4.154420e+14"," 1.792073e-01"," 1.812738e-10"," 6.834963e+00"," 1.280488e+17"," 7.648292e+13"," 5.498682e-02"," 1.087643e-10"," 1.139160e+01"," 2.475674e+16"," 1.446582e+13"," 1.456012e-02"," 7.768879e-11"," 1.594825e+01"," 4.652394e+15"," 2.764483e+12"," 3.577507e-03"," 6.041405e-11"," 2.050848e+01"," 8.634082e+14"," 5.309943e+11"," 8.398594e-04"," 4.942939e-11"," 2.506606e+01"," 1.584007e+14"," 1.022854e+11"," 1.911971e-04"," 4.182469e-11"," 2.962365e+01"," 2.896483e+13"," 1.973847e+10"," 4.257247e-05"," 3.624793e-11"," 3.418126e+01"," 5.277004e+12"," 3.813543e+09"," 9.321840e-06"," 3.198338e-11"," 3.873888e+01"," 9.610432e+11"," 7.374011e+08"," 2.014566e-06"," 2.861664e-11"," 4.329648e+01"
" 1.007585e+00"," 8.593295e+02"," 1.163772e+04"," 1.881616e+18"," 2.580083e+15"," 3.691125e-01"," 5.465997e-10"," 2.266741e+00"," 6.310820e+17"," 4.263349e+14"," 1.829773e-01"," 1.821940e-10"," 6.800443e+00"," 1.332705e+17"," 7.995915e+13"," 5.719569e-02"," 1.093164e-10"," 1.133407e+01"," 2.627084e+16"," 1.540936e+13"," 1.543148e-02"," 7.808315e-11"," 1.586770e+01"," 5.028466e+15"," 3.000722e+12"," 3.863611e-03"," 6.072072e-11"," 2.040490e+01"," 9.512348e+14"," 5.873393e+11"," 9.242871e-04"," 4.968030e-11"," 2.493946e+01"," 1.779056e+14"," 1.152950e+11"," 2.144268e-04"," 4.203699e-11"," 2.947404e+01"," 3.314149e+13"," 2.267328e+10"," 4.865536e-05"," 3.643193e-11"," 3.400863e+01"," 6.148540e+12"," 4.464141e+09"," 1.085705e-05"," 3.214573e-11"," 3.854323e+01"," 1.142263e+12"," 8.796799e+08"," 2.391131e-06"," 2.876190e-11"," 4.307782e+01"
" 1.015191e+00"," 8.723510e+02"," 1.173299e+04"," 1.883334e+18"," 2.600299e+15"," 3.701163e-01"," 5.493885e-10"," 2.255235e+00"," 6.437750e+17"," 4.373736e+14"," 1.867621e-01"," 1.831236e-10"," 6.765923e+00"," 1.386785e+17"," 8.354877e+13"," 5.946002e-02"," 1.098741e-10"," 1.127654e+01"," 2.783975e+16"," 1.640218e+13"," 1.634235e-02"," 7.848154e-11"," 1.578715e+01"," 5.431914e+15"," 3.254022e+12"," 4.168482e-03"," 6.103052e-11"," 2.030132e+01"," 1.046911e+15"," 6.489013e+11"," 1.015983e-03"," 4.993377e-11"," 2.481287e+01"," 1.994187e+14"," 1.297792e+11"," 2.401394e-04"," 4.225147e-11"," 2.932442e+01"," 3.786515e+13"," 2.600282e+10"," 5.551709e-05"," 3.661781e-11"," 3.383600e+01"," 7.158847e+12"," 5.216271e+09"," 1.262188e-05"," 3.230974e-11"," 3.834757e+01"," 1.355381e+12"," 1.047288e+09"," 2.832271e-06"," 2.890865e-11"," 4.285915e+01"
" 1.022817e+00"," 8.855060e+02"," 1.182845e+04"," 1.889170e+18"," 2.620403e+15"," 3.710749e-01"," 5.522058e-10"," 2.243729e+00"," 6.575562e+17"," 4.485573e+14"," 1.905604e-01"," 1.840627e-10"," 6.731403e+00"," 1.441959e+17"," 8.725381e+13"," 6.178000e-02"," 1.104376e-10"," 1.121900e+01"," 2.949900e+16"," 1.744617e+13"," 1.729385e-02"," 7.888401e-11"," 1.570661e+01"," 5.864613e+15"," 3.525378e+12"," 4.493055e-03"," 6.134349e-11"," 2.019774e+01"," 1.147691e+15"," 7.160904e+11"," 1.115460e-03"," 5.018984e-11"," 2.468627e+01"," 2.232390e+14"," 1.458843e+11"," 2.685626e-04"," 4.246814e-11"," 2.917481e+01"," 4.311909e+13"," 2.977452e+10"," 6.324549e-05"," 3.680559e-11"," 3.366336e+01"," 8.316880e+12"," 6.084290e+09"," 1.464712e-05"," 3.247543e-11"," 3.815192e+01"," 1.599410e+12"," 1.244356e+09"," 3.348048e-06"," 2.905690e-11"," 4.264048e+01"
" 1.030464e+00"," 8.987967e+02"," 1.192410e+04"," 1.893378e+18"," 2.640396e+15"," 3.719886e-01"," 5.550523e-10"," 2.232222e+00"," 6.709753e+17"," 4.598854e+14"," 1.943710e-01"," 1.850115e-10"," 6.696883e+00"," 1.498476e+17"," 9.107629e+13"," 6.415580e-02"," 1.110069e-10"," 1.116147e+01"," 3.113583e+16"," 1.854324e+13"," 1.828708e-02"," 7.929062e-11"," 1.562606e+01"," 6.315166e+15"," 3.815827e+12"," 4.838290e-03"," 6.165970e-11"," 2.009416e+01"," 1.260020e+15"," 7.893429e+11"," 1.223261e-03"," 5.044855e-11"," 2.455967e+01"," 2.495727e+14"," 1.637690e+11"," 2.999408e-04"," 4.268705e-11"," 2.902520e+01"," 4.911595e+13"," 3.404079e+10"," 7.193687e-05"," 3.699531e-11"," 3.349073e+01"," 9.645453e+12"," 7.084367e+09"," 1.696722e-05"," 3.264283e-11"," 3.795627e+01"," 1.889764e+12"," 1.475623e+09"," 3.949932e-06"," 2.920668e-11"," 4.242181e+01"
" 1.038133e+00"," 9.122250e+02"," 1.201995e+04"," 1.898347e+18"," 2.660277e+15"," 3.728577e-01"," 5.579282e-10"," 2.220716e+00"," 6.840990e+17"," 4.713569e+14"," 1.981925e-01"," 1.859701e-10"," 6.662363e+00"," 1.554676e+17"," 9.501819e+13"," 6.658754e-02"," 1.115820e-10"," 1.110394e+01"," 3.292598e+16"," 1.969536e+13"," 1.932316e-02"," 7.970146e-11"," 1.554551e+01"," 6.800303e+15"," 4.126452e+12"," 5.205177e-03"," 6.197918e-11"," 1.999058e+01"," 1.381634e+15"," 8.691226e+11"," 1.339954e-03"," 5.070994e-11"," 2.443308e+01"," 2.786637e+14"," 1.836050e+11"," 3.345370e-04"," 4.290823e-11"," 2.887558e+01"," 5.581567e+13"," 3.885948e+10"," 8.169668e-05"," 3.718700e-11"," 3.331810e+01"," 1.114206e+13"," 8.234691e+09"," 1.962061e-05"," 3.281196e-11"," 3.776062e+01"," 2.229261e+12"," 1.746521e+09"," 4.650971e-06"," 2.935801e-11"," 4.220314e+01"
" 1.045825e+00"," 9.257933e+02"," 1.211603e+04"," 1.902112e+18"," 2.680047e+15"," 3.736823e-01"," 5.608341e-10"," 2.209210e+00"," 6.978717e+17"," 4.829709e+14"," 2.020237e-01"," 1.869387e-10"," 6.627843e+00"," 1.614293e+17"," 9.908151e+13"," 6.907530e-02"," 1.121632e-10"," 1.104640e+01"," 3.478894e+16"," 2.090452e+13"," 2.040321e-02"," 8.011657e-11"," 1.546497e+01"," 7.311957e+15"," 4.458378e+12"," 5.594735e-03"," 6.230199e-11"," 1.988701e+01"," 1.513712e+15"," 9.559218e+11"," 1.466139e-03"," 5.097406e-11"," 2.430648e+01"," 3.102996e+14"," 2.055785e+11"," 3.726328e-04"," 4.313171e-11"," 2.872597e+01"," 6.340067e+13"," 4.429435e+10"," 9.264026e-05"," 3.738068e-11"," 3.314547e+01"," 1.287622e+13"," 9.555683e+09"," 2.265014e-05"," 3.298286e-11"," 3.756497e+01"," 2.619054e+12"," 2.063263e+09"," 5.465983e-06"," 2.951091e-11"," 4.198447e+01"
" 1.053541e+00"," 9.395036e+02"," 1.221233e+04"," 1.906102e+18"," 2.699705e+15"," 3.744627e-01"," 5.637704e-10"," 2.197703e+00"," 7.119943e+17"," 4.947267e+14"," 2.058633e-01"," 1.879174e-10"," 6.593323e+00"," 1.674639e+17"," 1.032682e+14"," 7.161911e-02"," 1.127504e-10"," 1.098887e+01"," 3.671428e+16"," 2.217278e+13"," 2.152833e-02"," 8.053603e-11"," 1.538442e+01"," 7.870536e+15"," 4.812778e+12"," 6.008009e-03"," 6.262817e-11"," 1.978343e+01"," 1.655181e+15"," 1.050263e+12"," 1.602444e-03"," 5.124094e-11"," 2.417989e+01"," 3.454829e+14"," 2.298902e+11"," 4.145301e-04"," 4.335753e-11"," 2.857635e+01"," 7.186761e+13"," 5.041563e+10"," 1.048935e-04"," 3.757639e-11"," 3.297283e+01"," 1.485488e+13"," 1.107024e+10"," 2.610348e-05"," 3.315554e-11"," 3.736932e+01"," 3.076509e+12"," 2.432943e+09"," 6.411769e-06"," 2.966542e-11"," 4.176580e+01"
" 1.061280e+00"," 9.533583e+02"," 1.230887e+04"," 1.910363e+18"," 2.719251e+15"," 3.751992e-01"," 5.667376e-10"," 2.186197e+00"," 7.223353e+17"," 5.066233e+14"," 2.097099e-01"," 1.889064e-10"," 6.558803e+00"," 1.736508e+17"," 1.075803e+14"," 7.421899e-02"," 1.133439e-10"," 1.093134e+01"," 3.874503e+16"," 2.350220e+13"," 2.269964e-02"," 8.095990e-11"," 1.530387e+01"," 8.424213e+15"," 5.190869e+12"," 6.446071e-03"," 6.295780e-11"," 1.967985e+01"," 1.808140e+15"," 1.152699e+12"," 1.749529e-03"," 5.151063e-11"," 2.405329e+01"," 3.844270e+14"," 2.567571e+11"," 4.605517e-04"," 4.358573e-11"," 2.842674e+01"," 8.111108e+13"," 5.730050e+10"," 1.185938e-04"," 3.777416e-11"," 3.280020e+01"," 1.711484e+13"," 1.280401e+10"," 3.003361e-05"," 3.333004e-11"," 3.717367e+01"," 3.605938e+12"," 2.863651e+09"," 7.507341e-06"," 2.982155e-11"," 4.154713e+01"
" 1.069045e+00"," 9.673595e+02"," 1.240567e+04"," 1.915572e+18"," 2.738686e+15"," 3.758919e-01"," 5.697362e-10"," 2.174691e+00"," 7.357268e+17"," 5.186596e+14"," 2.135622e-01"," 1.899059e-10"," 6.524283e+00"," 1.797780e+17"," 1.120196e+14"," 7.687490e-02"," 1.139436e-10"," 1.087380e+01"," 4.081748e+16"," 2.489490e+13"," 2.391823e-02"," 8.138826e-11"," 1.522333e+01"," 9.037705e+15"," 5.593918e+12"," 6.910020e-03"," 6.329091e-11"," 1.957627e+01"," 1.974914e+15"," 1.263816e+12"," 1.908083e-03"," 5.178317e-11"," 2.392669e+01"," 4.270365e+14"," 2.864133e+11"," 5.110428e-04"," 4.381634e-11"," 2.827712e+01"," 9.167508e+13"," 6.503372e+10"," 1.338908e-04"," 3.797402e-11"," 3.262757e+01"," 1.965568e+13"," 1.478566e+10"," 3.449930e-05"," 3.350639e-11"," 3.697802e+01"," 4.224631e+12"," 3.364590e+09"," 8.774178e-06"," 2.997934e-11"," 4.132846e+01"
